Gene symbol,UniProt Accession,Mitochondrial protein annotation type,UniProtKB/Swiss-Prot Annotation,GO_CC Annotation,GO_BP Annotation,PubMed,MitoCarta3.0 Annotation
MTRF1L,Q9UGC7,Localized,https://www.uniprot.org/uniprotkb/Q9UGC7/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MTRFR,Q9H3J6,Localized,https://www.uniprot.org/uniprotkb/Q9H3J6/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MT-RNR1,A0A0C5B5G6,Localized,https://www.uniprot.org/uniprotkb/A0A0C5B5G6/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
MTX1,Q13505,Localized,https://www.uniprot.org/uniprotkb/Q13505/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; SAM complex [GO:0001401],,,Yes
MTX2,O75431,Localized,https://www.uniprot.org/uniprotkb/O75431/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; SAM complex [GO:0001401],,,Yes
MUTYH,Q9UIF7,Localized,https://www.uniprot.org/uniprotkb/Q9UIF7/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MVP,Q14764,Localized,,,,https://pubmed.ncbi.nlm.nih.gov/25215595/,No
MYBPC3,Q14896,Associated/ancillary,,,,https://pubmed.ncbi.nlm.nih.gov/15936968/,No
MYCBP,Q99417,Localized,https://www.uniprot.org/uniprotkb/Q99417/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
MYH9,P35579,Localized,,,,https://pubmed.ncbi.nlm.nih.gov/25215595/,No
MYO19,Q96H55,Localized,https://www.uniprot.org/uniprotkb/Q96H55/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MYOC,Q99972,Localized,https://www.uniprot.org/uniprotkb/Q99972/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741],,,No
NADK2,Q4G0N4,Localized,https://www.uniprot.org/uniprotkb/Q4G0N4/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
NAGS,Q8N159,Localized,https://www.uniprot.org/uniprotkb/Q8N159/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
NARS2,Q96I59,Localized,https://www.uniprot.org/uniprotkb/Q96I59/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
NAT8L,Q8N9F0,Localized,https://www.uniprot.org/uniprotkb/Q8N9F0/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
NAXD,Q8IW45,Localized,https://www.uniprot.org/uniprotkb/Q8IW45/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
NAXE,Q8NCW5,Localized,https://www.uniprot.org/uniprotkb/Q8NCW5/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
NDUFA1,O15239,Localized,https://www.uniprot.org/uniprotkb/O15239/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFA10,O95299,Localized,https://www.uniprot.org/uniprotkb/O95299/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFA11,Q86Y39,Localized,https://www.uniprot.org/uniprotkb/Q86Y39/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFA12,Q9UI09,Localized,https://www.uniprot.org/uniprotkb/Q9UI09/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFA13,Q9P0J0,Localized,https://www.uniprot.org/uniprotkb/Q9P0J0/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respirasome [GO:0005746]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFA2,O43678,Localized,https://www.uniprot.org/uniprotkb/O43678/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFA3,O95167,Localized,https://www.uniprot.org/uniprotkb/O95167/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFA4,O00483,Localized,https://www.uniprot.org/uniprotkb/O00483/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739],,,Yes
NDUFA5,Q16718,Localized,https://www.uniprot.org/uniprotkb/Q16718/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFA6,P56556,Localized,https://www.uniprot.org/uniprotkb/P56556/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFA7,O95182,Localized,https://www.uniprot.org/uniprotkb/O95182/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739],,,Yes
NDUFA8,P51970,Localized,https://www.uniprot.org/uniprotkb/P51970/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFA9,Q16795,Localized,https://www.uniprot.org/uniprotkb/Q16795/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFAB1,O14561,Localized,https://www.uniprot.org/uniprotkb/O14561/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFAF1,Q9Y375,Localized,https://www.uniprot.org/uniprotkb/Q9Y375/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFAF2,Q8N183,Localized,https://www.uniprot.org/uniprotkb/Q8N183/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
NDUFAF3,Q9BU61,Localized,https://www.uniprot.org/uniprotkb/Q9BU61/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,Yes
NDUFAF4,Q9P032,Localized,https://www.uniprot.org/uniprotkb/Q9P032/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
NDUFAF5,Q5TEU4,Localized,https://www.uniprot.org/uniprotkb/Q5TEU4/entry#subcellular_location ,matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
NDUFAF6,Q330K2,Localized,https://www.uniprot.org/uniprotkb/Q330K2/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
NDUFAF8,A1L188,Localized,https://www.uniprot.org/uniprotkb/A1L188/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
NDUFB1,O75438,Localized,https://www.uniprot.org/uniprotkb/O75438/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFB10,O96000,Localized,https://www.uniprot.org/uniprotkb/O96000/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFB11,Q9NX14,Localized,https://www.uniprot.org/uniprotkb/Q9NX14/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFB2,O95178,Localized,https://www.uniprot.org/uniprotkb/O95178/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFB3,O43676,Localized,https://www.uniprot.org/uniprotkb/O43676/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFB4,O95168,Localized,https://www.uniprot.org/uniprotkb/O95168/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFB5,O43674,Localized,https://www.uniprot.org/uniprotkb/O43674/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFB6,O95139,Localized,https://www.uniprot.org/uniprotkb/O95139/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFB7,P17568,Localized,https://www.uniprot.org/uniprotkb/P17568/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFB8,O95169,Localized,https://www.uniprot.org/uniprotkb/O95169/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFB9,Q9Y6M9,Localized,https://www.uniprot.org/uniprotkb/Q9Y6M9/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFC1,O43677,Localized,https://www.uniprot.org/uniprotkb/O43677/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFC2,O95298,Localized,https://www.uniprot.org/uniprotkb/O95298/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFS1,P28331,Localized,https://www.uniprot.org/uniprotkb/P28331/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFS2,O75306,Localized,https://www.uniprot.org/uniprotkb/O75306/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFS3,O75489,Localized,https://www.uniprot.org/uniprotkb/O75489/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFS4,O43181,Localized,https://www.uniprot.org/uniprotkb/O43181/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFS5,O43920,Localized,https://www.uniprot.org/uniprotkb/O43920/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFS6,O75380,Localized,https://www.uniprot.org/uniprotkb/O75380/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFS7,O75251,Localized,https://www.uniprot.org/uniprotkb/O75251/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
NDUFS8,O00217,Localized,https://www.uniprot.org/uniprotkb/O00217/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFV1,P49821,Localized,https://www.uniprot.org/uniprotkb/P49821/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFV2,P19404,Localized,https://www.uniprot.org/uniprotkb/P19404/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NDUFV3,P56181,Localized,https://www.uniprot.org/uniprotkb/P56181/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
NEFL,P07196,Associated/ancillary,,,axonal transport of mitochondrion [GO:0019896],,No
NFE2L2,Q16236,Associated/ancillary,"Interacts with MOTS-c, a peptide produced by the mitochondrially encoded 12S rRNA MT-RNR1 (https://www.uniprot.org/uniprotkb/Q16236/entry)",,,,No
NFS1,Q9Y697,Localized,https://www.uniprot.org/uniprotkb/Q9Y697/entry#subcellular_location ,mitochondrial iron-sulfur cluster assembly complex [GO:0099128]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
NFU1,Q9UMS0,Localized,https://www.uniprot.org/uniprotkb/Q9UMS0/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
NIPSNAP2,O75323,Localized,https://www.uniprot.org/uniprotkb/O75323/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
NLN,Q9BYT8,Localized,https://www.uniprot.org/uniprotkb/Q9BYT8/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758],,,Yes
NLRP3,Q96P20,Localized,https://www.uniprot.org/uniprotkb/Q96P20/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
NME4,O00746,Localized,https://www.uniprot.org/uniprotkb/O00746/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
NNT,Q13423,Localized,https://www.uniprot.org/uniprotkb/Q13423/entry#subcellular_location ,membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial respirasome [GO:0005746]; mitochondrion [GO:0005739],,,Yes
NOD2,Q9HC29,Localized,https://www.uniprot.org/uniprotkb/Q9HC29/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
NOL3,O60936,Localized,https://www.uniprot.org/uniprotkb/O60936/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
NOX4,Q9NPH5,Localized,,mitochondrion [GO:0005739]; NADPH oxidase complex [GO:0043020],,,No
NR3C1,P04150,Localized,https://www.uniprot.org/uniprotkb/P04150/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,No
NRF1,Q16656,Associated/ancillary,"Implicated in the control of nuclear genes required for respiration, heme biosynthesis, and mitochondrial DNA transcription and replication. (https://www.uniprot.org/uniprotkb/Q16656/entry) ",,,,No
NSUN2,Q08J23,Localized,https://www.uniprot.org/uniprotkb/Q08J23/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
NSUN3,Q9H649,Localized,https://www.uniprot.org/uniprotkb/Q9H649/entry#subcellular_location ,mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
NTHL1,P78549,Localized,https://www.uniprot.org/uniprotkb/P78549/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
NUBPL,Q8TB37,Localized,https://www.uniprot.org/uniprotkb/Q8TB37/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
NUDT2,P50583,Localized,,mitochondrial matrix [GO:0005759],,,Yes
NUDT8,Q8WV74,Localized,https://www.uniprot.org/uniprotkb/Q8WV74/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
OAS1,P00973,Localized,https://www.uniprot.org/uniprotkb/P00973/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
OAT,P04181,Localized,https://www.uniprot.org/uniprotkb/P04181/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
OCIAD2,Q56VL3,Localized,,,,,Yes
OGA,O60502,Localized,,,,https://pubmed.ncbi.nlm.nih.gov/16823967/,No
OGDH,Q02218,Localized,https://www.uniprot.org/uniprotkb/Q02218/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
OGDHL,Q9ULD0,Localized,https://www.uniprot.org/uniprotkb/Q9ULD0/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; oxoglutarate dehydrogenase complex [GO:0045252],,,Yes
OGG1,O15527,Localized,https://www.uniprot.org/uniprotkb/O15527/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
OGT,O15294,Localized,https://www.uniprot.org/uniprotkb/O15294/entry#subcellular_location ,mitochondrial membrane [GO:0031966],,,No
OMA1,Q96E52,Localized,https://www.uniprot.org/uniprotkb/Q96E52/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966],,,Yes
OPA1,O60313,Localized,https://www.uniprot.org/uniprotkb/O60313/entry#subcellular_location ,mitochondrial crista [GO:0030061]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
OPA3,Q9H6K4,Localized,https://www.uniprot.org/uniprotkb/Q9H6K4/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
OTC,P00480,Localized,https://www.uniprot.org/uniprotkb/P00480/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
OXA1L,Q15070,Localized,https://www.uniprot.org/uniprotkb/Q15070/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
OXCT1,P55809,Localized,https://www.uniprot.org/uniprotkb/P55809/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
OXNAD1,Q96HP4,Localized,,,,,Yes
OXR1,Q8N573,Localized,https://www.uniprot.org/uniprotkb/Q8N573/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
OXSM,Q9NWU1,Localized,https://www.uniprot.org/uniprotkb/Q9NWU1/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
PACS2,Q86VP3,Localized,https://www.uniprot.org/uniprotkb/Q86VP3/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
PAICS,P22234,Localized,,,,,Yes
PAM16,Q9Y3D7,Localized,https://www.uniprot.org/uniprotkb/Q9Y3D7/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; PAM complex, Tim23 associated import motor [GO:0001405]; protein-containing complex [GO:0032991]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]",,,Yes
PANK2,Q9BZ23,Localized,https://www.uniprot.org/uniprotkb/Q9BZ23/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
PARK7,Q99497,Localized,https://www.uniprot.org/uniprotkb/Q99497/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
PARS2,Q7L3T8,Localized,https://www.uniprot.org/uniprotkb/Q7L3T8/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
PC,P11498,Localized,https://www.uniprot.org/uniprotkb/P11498/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
PCCA,P05165,Localized,https://www.uniprot.org/uniprotkb/P05165/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
PCCB,P05166,Localized,https://www.uniprot.org/uniprotkb/P05166/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
PCK2,Q16822,Localized,https://www.uniprot.org/uniprotkb/Q16822/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
PDE2A,O00408,Localized,https://www.uniprot.org/uniprotkb/O00408/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741],,,Yes
PDF,Q9HBH1,Localized,https://www.uniprot.org/uniprotkb/Q9HBH1/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
PDHA1,P08559,Localized,https://www.uniprot.org/uniprotkb/P08559/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739]; pyruvate dehydrogenase complex [GO:0045254],,,Yes
PDHA2,P29803,Localized,https://www.uniprot.org/uniprotkb/P29803/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739],,,Yes
PDHB,P11177,Localized,https://www.uniprot.org/uniprotkb/P11177/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739],,,Yes
PDHX,O00330,Localized,https://www.uniprot.org/uniprotkb/O00330/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739]; pyruvate dehydrogenase complex [GO:0045254],,,Yes
PDK1,Q15118,Localized,https://www.uniprot.org/uniprotkb/Q15118/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739],,,Yes
PDK2,Q15119,Localized,https://www.uniprot.org/uniprotkb/Q15119/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739],,,Yes
PDK3,Q15120,Localized,https://www.uniprot.org/uniprotkb/Q15120/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
PDP1,Q9P0J1,Localized,https://www.uniprot.org/uniprotkb/Q9P0J1/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; pyruvate dehydrogenase (lipoamide) phosphatase complex [GO:0045253],,,Yes
PDSS1,Q5T2R2,Localized,https://www.uniprot.org/uniprotkb/Q5T2R2/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
PDSS2,Q86YH6,Localized,https://www.uniprot.org/uniprotkb/Q86YH6/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
PET100,P0DJ07,Localized,https://www.uniprot.org/uniprotkb/P0DJ07/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,Yes
PET117,Q6UWS5,Localized,https://www.uniprot.org/uniprotkb/Q6UWS5/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
PEX11B,O96011,Localized,,mitochondrion [GO:0005739],,,Yes
PGRMC1,O00264,Localized,https://www.uniprot.org/uniprotkb/O00264/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741],,,No
PHB1,P35232,Localized,https://www.uniprot.org/uniprotkb/P35232/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial prohibitin complex [GO:0035632]; mitochondrion [GO:0005739],,,Yes
PHB2,Q99623,Localized,https://www.uniprot.org/uniprotkb/Q99623/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrial prohibitin complex [GO:0035632]; mitochondrion [GO:0005739],,,Yes
PHYH,O14832,Localized,,,,,Yes
PHYKPL,Q8IUZ5,Localized,https://www.uniprot.org/uniprotkb/Q8IUZ5/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,No
PICK1,Q9NRD5,Localized,,,,,Yes
PINK1,Q9BXM7,Localized,https://www.uniprot.org/uniprotkb/Q9BXM7/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
PISD,Q9UG56,Localized,https://www.uniprot.org/uniprotkb/Q9UG56/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
PITRM1,Q5JRX3,Localized,https://www.uniprot.org/uniprotkb/Q5JRX3/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
PLA2G2A,P14555,Localized,https://www.uniprot.org/uniprotkb/P14555/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741],,,No
PLA2G4B,P0C869,Localized,https://www.uniprot.org/uniprotkb/P0C869/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,No
PLA2G4C,Q9UP65,Localized,https://www.uniprot.org/uniprotkb/Q9UP65/entry#subcellular_location ,mitochondrial membrane [GO:0031966],,,No
PLA2G6,O60733,Localized,https://www.uniprot.org/uniprotkb/O60733/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
PLEC,Q15149,Localized,,mitochondrial outer membrane [GO:0005741],,,No
PLIN5,Q00G26,Localized,https://www.uniprot.org/uniprotkb/Q00G26/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
PLN,P26678,Localized,https://www.uniprot.org/uniprotkb/P26678/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,No
PLPBP,O94903,Localized,,,,,Yes
PMPCA,Q10713,Localized,https://www.uniprot.org/uniprotkb/Q10713/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial processing peptidase complex [GO:0017087]; mitochondrion [GO:0005739],,,Yes
PMPCB,O75439,Localized,https://www.uniprot.org/uniprotkb/O75439/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial processing peptidase complex [GO:0017087]; mitochondrion [GO:0005739],,,Yes
PNKD,Q8N490,Localized,https://www.uniprot.org/uniprotkb/Q8N490/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
PNPLA4,P41247,Localized,https://www.uniprot.org/uniprotkb/P41247/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
PNPLA8,Q9NP80,Localized,https://www.uniprot.org/uniprotkb/Q9NP80/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
PNPO,Q9NVS9,Localized,,,,,Yes
